var,type,low,high,err
y,flt,4.844250703687742742875599333274e-02,4.844252936496658279441618333294e-02,4.944424509694329970266911777650e-16
y,flt,1.719243248376618737882637333314e-02,1.719250703687742742875599333274e-02,4.944424642043227978751339757075e-16
y,flt,4.844243248376618737882637333314e-02,4.844250703687742742875599333274e-02,4.944424642043227978751339757075e-16
y,flt,1.719238782758787664750599333274e-02,1.719243248376618737882637333314e-02,4.944425206817224946923775198713e-16
y,flt,4.844238782758787664750599333274e-02,4.844243248376618737882637333314e-02,4.944425206817224946923775198713e-16
y,flt,1.719223872136539307819980137992e-02,1.719238782758787664750599333274e-02,4.944425471515020963892631157564e-16
y,flt,4.844223872136539654764675333354e-02,4.844238782758787664750599333274e-02,4.944425471515020963892631157564e-16
y,flt,1.719214940900877508500599333274e-02,1.719223872136539307819980137992e-02,4.944426601063012928085238988309e-16
y,flt,4.844214940900877508500599333274e-02,4.844223872136539654764675333354e-02,4.944426601063012928085238988309e-16
y,flt,1.719185119656380447694665747349e-02,1.719214940900877508500599333274e-02,4.944427130458604962022950906011e-16
y,flt,4.844185119656380794639360942710e-02,4.844214940900877508500599333274e-02,4.944427130458604962022950906011e-16
y,flt,1.719167257185057196000599333274e-02,1.719185119656380447694665747349e-02,4.944429389554590862560429620031e-16
y,flt,4.844167257185057196000599333274e-02,4.844185119656380794639360942710e-02,4.944429389554590862560429620031e-16
y,flt,1.719107614696063074388732161424e-02,1.719167257185057196000599333274e-02,4.944430448345774930435853455435e-16
y,flt,4.844107614696063074388732161424e-02,4.844167257185057196000599333274e-02,4.944430448345774930435853455435e-16
y,flt,1.719071889753416571000599333274e-02,1.719107614696063074388732161424e-02,4.944434966537745745434679357211e-16
y,flt,4.844071889753416571000599333274e-02,4.844107614696063074388732161424e-02,4.944434966537745745434679357211e-16
y,flt,1.718952604775427980832169794212e-02,1.719071889753416571000599333274e-02,4.944437084120113881185527028018e-16
y,flt,4.843952604775428327776864989573e-02,4.844071889753416571000599333274e-02,4.944437084120113881185527028018e-16
y,flt,1.718881154890135321000599333274e-02,1.718952604775427980832169794212e-02,4.944446120504056497259310357836e-16
y,flt,4.843881154890135321000599333274e-02,4.843952604775428327776864989573e-02,4.944446120504056497259310357836e-16
y,flt,1.718642584934158140663740255150e-02,1.718881154890135321000599333274e-02,4.944450355668792768761005699449e-16
y,flt,4.843642584934158140663740255150e-02,4.843881154890135321000599333274e-02,4.944450355668792768761005699449e-16
y,flt,1.718499685163572821000599333274e-02,1.718642584934158140663740255150e-02,4.944468428436676028756309306556e-16
y,flt,4.843499685163572821000599333274e-02,4.843642584934158140663740255150e-02,4.944468428436676028756309306556e-16
y,flt,1.718022545251618460326881177025e-02,1.718499685163572821000599333274e-02,4.944476898766148571759699989781e-16
y,flt,4.843022545251618460326881177025e-02,4.843499685163572821000599333274e-02,4.944476898766148571759699989781e-16
y,flt,1.717736745710447821000599333274e-02,1.718022545251618460326881177025e-02,4.944513044301917063902570256525e-16
y,flt,4.842736745710447821000599333274e-02,4.843022545251618460326881177025e-02,4.944513044301917063902570256525e-16
y,flt,1.716782465886539099653163020776e-02,1.717736745710447821000599333274e-02,4.944529984960862149909351622975e-16
y,flt,4.841782465886539099653163020776e-02,4.842736745710447821000599333274e-02,4.944529984960862149909351622975e-16
y,flt,1.716210866804197821000599333274e-02,1.716782465886539099653163020776e-02,4.944602276032398148118960630198e-16
y,flt,4.841210866804197821000599333274e-02,4.841782465886539099653163020776e-02,4.944602276032398148118960630198e-16
y,flt,1.714302307156380378305726708277e-02,1.716210866804197821000599333274e-02,4.944636157350288320132523363098e-16
y,flt,4.839302307156380378305726708277e-02,4.841210866804197821000599333274e-02,4.944636157350288320132523363098e-16
y,flt,1.713159108991697821000599333274e-02,1.714302307156380378305726708277e-02,4.944780739493360316551741377544e-16
y,flt,4.838159108991697821000599333274e-02,4.839302307156380378305726708277e-02,4.944780739493360316551741377544e-16
y,flt,1.709341989696062935610854083279e-02,1.713159108991697821000599333274e-02,4.944848502129140660578866843344e-16
y,flt,4.834341989696062935610854083279e-02,4.838159108991697821000599333274e-02,4.944848502129140660578866843344e-16
y,flt,1.707055593366697821000599333274e-02,1.709341989696062935610854083279e-02,4.945137666415284653417302872236e-16
y,flt,4.832055593366697821000599333274e-02,4.834341989696062935610854083279e-02,4.945137666415284653417302872236e-16
y,flt,1.699421354775428050221108833284e-02,1.707055593366697821000599333274e-02,4.945273191686845341471553803836e-16
y,flt,4.824421354775428050221108833284e-02,4.832055593366697821000599333274e-02,4.945273191686845341471553803836e-16
y,flt,1.694848562116697821000599333274e-02,1.699421354775428050221108833284e-02,4.945851520259134313224557387886e-16
y,flt,4.819848562116697821000599333274e-02,4.824421354775428050221108833284e-02,4.945851520259134313224557387886e-16
y,flt,1.679580084934158279441618333294e-02,1.694848562116697821000599333274e-02,4.946122570802255689333059251086e-16
y,flt,4.804580084934158279441618333294e-02,4.819848562116697821000599333274e-02,4.946122570802255689333059251086e-16
y,flt,1.328637624616697821000599333274e-02,1.401802307156380447694665747349e-02,4.946910894953745130706510396381e-16
y,flt,1.670434499616697821000599333274e-02,1.679580084934158279441618333294e-02,4.947279227946831660686803366655e-16
y,flt,4.795434499616697821000599333274e-02,4.804580084934158279441618333294e-02,4.947279227946831660686803366655e-16
y,flt,1.639897545251618737882637333314e-02,1.670434499616697821000599333274e-02,4.947821329033074412903807093056e-16
y,flt,4.764897545251618737882637333314e-02,4.795434499616697821000599333274e-02,4.947821329033074412903807093056e-16
y,flt,1.621606374616697821000599333274e-02,1.639897545251618737882637333314e-02,4.950134643322228327763558376723e-16
y,flt,4.746606374616697821000599333274e-02,4.764897545251618737882637333314e-02,4.950134643322228327763558376723e-16
y,flt,1.562500000000000000000000000000e-02,1.621606374616697821000599333274e-02,4.951218845494713832197565829524e-16
y,flt,4.685532465886539654764675333354e-02,4.746606374616697821000599333274e-02,4.951218845494713832197565829524e-16
y,flt,1.094324586468131514649382296511e-02,1.328637624616697821000599333274e-02,4.951247703643687148442540207585e-16
y,flt,4.648950124616697821000599333274e-02,4.685532465886539654764675333354e-02,4.955845474073020675840936870595e-16
y,flt,4.526802307156380794639360942710e-02,4.648950124616697821000599333274e-02,4.958013878417991684708951776197e-16
y,flt,4.453637624616697821000599333274e-02,4.526802307156380794639360942710e-02,4.964258129713513201650629641195e-16
y,flt,3.125000000000000000000000000000e-02,4.453637624616697821000599333274e-02,4.968594938403455219386659452399e-16
y,flt,6.248032465886539654764675333354e-02,6.249999999999999306110609609277e-02,4.985942173163223290330778697213e-16
y,flt,6.211450124616697821000599333274e-02,6.248032465886539654764675333354e-02,4.990539943592556817729175360223e-16
y,flt,6.089302307156380794639360942710e-02,6.211450124616697821000599333274e-02,4.992708347937527826597190265825e-16
y,flt,6.016137624616697821000599333274e-02,6.089302307156380794639360942710e-02,4.998952599233049343538868130823e-16
y,flt,5.781824586468130994232339503469e-02,6.016137624616697821000599333274e-02,5.003289407922991361274897942027e-16
y,flt,-3.814697265624999576483526372850e-06,-1.907348632812500000000000000000e-06,5.042324921297205792400861584471e-16
y,flt,-7.629394531249999152967052745700e-06,-3.814697265625000000000000000000e-06,5.042329156461942063902556926083e-16
y,flt,-1.525878906249999830593410549140e-05,-7.629394531250000000000000000000e-06,5.042337626791414606905947609308e-16
y,flt,6.870552307156381488528751333433e-02,6.979741253134796874491030393983e-02,5.046657494822411538635196054062e-16
y,flt,6.797387624616697821000599333274e-02,6.870552307156381488528751333433e-02,5.050994303512353556371225865265e-16
y,flt,6.979741253134796874491030393983e-02,7.760991253134796874491030393983e-02,5.055331112202295574107255676468e-16
y,flt,6.250000000000000000000000000000e-02,6.797387624616697821000599333274e-02,5.055331112202295574107255676468e-16
y,flt,-3.051757812499999661186821098280e-05,-1.525878906250000000000000000000e-05,5.055364993520185746120818409368e-16
y,flt,-6.103515624999999322373642196560e-05,-3.051757812500000000000000000000e-05,5.055398874838075918134381142269e-16
y,flt,-1.220703124999999864474728439312e-04,-6.103515625000000000000000000000e-05,5.055466637473856262161506608069e-16
y,flt,7.760991253134796874491030393983e-02,9.323491253134796874491030393983e-02,5.072678346962063645051374921282e-16
y,flt,-2.441406249999999728949456878624e-04,-1.220703125000000000000000000000e-04,5.072949397505185021159876784483e-16
y,flt,-4.882812499999999457898913757248e-04,-2.441406250000000000000000000000e-04,5.073220448048306397268378647683e-16
y,flt,-9.765624999999998915797827514496e-04,-4.882812500000000000000000000000e-04,5.073762549134549149485382374083e-16
y,flt,9.323491253134796874491030393983e-02,1.203182458646813030034294911275e-01,5.107372816481599786939613410910e-16
y,flt,-1.953124999999999783159565502899e-03,-9.765625000000000000000000000000e-04,5.109541220826570795807628316512e-16
y,flt,-3.906249999999999566319131005798e-03,-1.953125000000000000000000000000e-03,5.111709625171541804675643222114e-16
y,flt,-7.812499999999999132638262011596e-03,-3.906250000000000000000000000000e-03,5.116046433861483822411673033317e-16
y,flt,1.203182458646813030034294911275e-01,1.244849125313479548671224961254e-01,5.246150694559744354492567369422e-16
y,flt,1.244849125313479548671224961254e-01,1.249999999999999861222121921855e-01,5.315539633598816638269044348677e-16
y,flt,1.250000000000000000000000000000e-01,1.828182458646812891256416833130e-01,5.454317511676961205821998307189e-16
y,flt,-1.562499999999999826527652402319e-02,-7.812500000000000000000000000000e-03,5.471664746436729276766117552003e-16
y,flt,-3.124999999999999653055304804639e-02,-1.562500000000000000000000000000e-02,5.489011981196497347710236796816e-16
y,flt,1.828182458646812891256416833130e-01,1.869849125313479409893346883109e-01,5.503654686520896755660282127737e-16
y,flt,-6.249999999999999306110609609277e-02,-3.125000000000000000000000000000e-02,5.523706450716033489598475286444e-16
y,flt,1.869849125313479409893346883109e-01,2.453182458646812891256416833130e-01,5.593095389755105773374952265700e-16
y,flt,-1.249999999999999861222121921855e-01,-6.250000000000000000000000000000e-02,5.731873267833250340927906224211e-16
y,flt,2.453182458646812891256416833130e-01,2.499999999999999722444243843711e-01,5.870651145911394908480860182723e-16
y,flt,-2.499999999999999722444243843711e-01,-1.250000000000000000000000000000e-01,5.870651145911394908480860182723e-16
y,flt,2.500000000000000000000000000000e-01,2.619849125313479243359893189336e-01,6.148206902067684043586768099745e-16
y,flt,2.619849125313479243359893189336e-01,2.765682458646812613700660676841e-01,6.155756515845867050927966082851e-16
y,flt,2.765682458646812613700660676841e-01,2.786515791980145873019125701830e-01,6.190450985365403192816204572479e-16
y,flt,2.786515791980145873019125701830e-01,3.078182458646812613700660676841e-01,6.266933015950691877201528899550e-16
y,flt,3.078182458646812613700660676841e-01,3.119849125313479132337590726820e-01,6.336321954989764160978005878805e-16
y,flt,-4.203073737538330911789330457395e-01,-2.500000000000000000000000000000e-01,6.401591532391953938992196447221e-16
y,flt,-4.203073737538333687346892020287e-01,-2.500000000000001110223024625157e-01,6.401591532391954925068327973486e-16
y,flt,-2.500000000000004440892098500626e-01,-2.500000000000003330669073875470e-01,6.401591532391955911144459499750e-16
y,flt,-2.500000000000007216449660063518e-01,-2.500000000000004440892098500626e-01,6.401591532391956897220591026015e-16
y,flt,-2.500000000000008881784197001252e-01,-2.500000000000007216449660063518e-01,6.401591532391958869372854078545e-16
y,flt,-2.500000000000014432899320127035e-01,-2.500000000000008881784197001252e-01,6.401591532391959855448985604809e-16
y,flt,-2.500000000000017763568394002505e-01,-2.500000000000014432899320127035e-01,6.401591532391963799753511709868e-16
